Re,alpha,CL,CD,CM
20000,24,1.0636171453470367,0.27677885078436404,-0.1364376004769673
20000,24.5,1.0781758724048964,0.28283994752317015,-0.1412931259675412
20000,25,1.0929000917647878,0.2885502451535864,-0.14599710529378407
20000,-20,-0.550384359554549,0.2302504299701062,0.003094096694759251
20000,-19.5,-0.5338546638274513,0.22548491388785824,0.0004947589815827375
20000,-19,-0.5171848969646409,0.22066980583058124,-0.001967970830094827
20000,-18.5,-0.5003941214595391,0.21581044271368952,-0.004293912222665489
20000,-18,-0.4835456405267303,0.21091220300377533,-0.006504089413538665
20000,-17.5,-0.46672465700204036,0.20597529517946989,-0.008636330023795049
20000,-17,-0.44993287154828016,0.20098091533979034,-0.01070365856822577
20000,-16.5,-0.4329665024132865,0.19587706461297671,-0.012631667758436672
20000,-16,-0.41553442481913233,0.19060746302053966,-0.014281688658323443
20000,-15.5,-0.39766758220127696,0.18518784786020048,-0.015605698074656617
20000,-15,-0.3798104845656406,0.1797127837692306,-0.01670194105034641
20000,-14.5,-0.3623321175087375,0.17425661585888924,-0.017675206832643165
20000,-14,-0.34501939589654285,0.16878356445390436,-0.01851920212914884
20000,-13.5,-0.32733718082391333,0.16318869722146084,-0.019157637257566206
20000,-13,-0.30947200833446536,0.157448455711701,-0.01959184200652132
20000,-12.5,-0.2922761157389858,0.15160248402234378,-0.019900887715598132
20000,-12,-0.2762223074940722,0.14561904251862492,-0.02013237377185492
20000,-11.5,-0.2609213462385764,0.1393662801236096,-0.020290475711820678
20000,-11,-0.245191922676906,0.1327252027762486,-0.02033161196524963
20000,-10.5,-0.22809483780920342,0.12599977720530853,-0.020078631258312104
20000,-10,-0.20961464240418248,0.1198226589910552,-0.01956539079261514
20000,-9.5,-0.18853914429472848,0.11371548588662675,-0.020545176913395087
20000,-9,-0.16378149602076936,0.10601357974328633,-0.025995303033889108
20000,-8.5,-0.153870568210076,0.09768194237910514,-0.0327976254820228
20000,-8,-0.20099720909984448,0.09262191374511142,-0.031008449646813898
20000,-7.5,-0.2901568647364877,0.09045768180370259,-0.02125391367996416
20000,-7,-0.3630449414942639,0.08734611679174592,-0.013219587901359407
20000,-6.5,-0.41077445657265793,0.08206376406274436,-0.008490822738766992
20000,-6,-0.4343944728905729,0.07610387604666928,-0.004739423366141471
